20	111	26	117	
20	111	26	117	
33	114	32	114	
27	131	21	124	
14	107	33	126	
38	111	30	104	
13	110	31	128	
21	103	22	105	
20	119	12	112	
20	115	15	110	
47	131	34	118	
22	112	20	110	
16	112	28	124	
46	138	18	111	
13	106	25	118	
39	131	21	113	
28	101	42	115	
23	113	31	122	
29	125	20	116	
20	111	26	117	
9	108	22	121	
38	134	16	112	
22	127	19	123	
18	110	23	115	
26	110	28	112	
20	111	26	117	
20	111	26	117	
19	114	28	122	
22	110	19	106	
20	111	26	117	
20	111	26	117	
20	111	26	117	
14	102	34	121	
23	102	34	113	
20	111	26	117	
40	131	23	114	
20	111	26	117	
23	125	26	127	
27	119	23	115	
20	111	26	117	
18	105	32	120	
15	108	14	107	
36	131	25	120	
16	105	11	100	
22	136	29	143	
24	113	34	124	
31	120	23	112	
32	113	32	113	
26	118	17	110	
30	117	29	116	
18	116	17	115	
27	108	22	103	
39	122	28	110	
29	116	24	111	
43	121	41	119	
23	103	37	118	
13	116	20	123	
20	111	26	117	
20	111	26	117	
27	122	27	122	
23	109	27	113	
34	124	22	112	
23	110	34	122	
43	112	36	105	
27	124	17	114	
20	111	26	117	
22	119	25	122	
38	123	18	103	
32	124	23	115	
23	125	25	127	
30	122	32	125	
27	114	35	122	
19	118	27	126	
41	118	33	111	
24	111	29	117	
23	112	36	125	
24	103	22	101	
29	119	25	114	
27	109	27	109	
20	111	26	117	
17	108	30	122	
22	120	19	117	
25	113	15	103	
29	111	15	98	
22	112	9	99	
26	124	28	126	
30	117	33	120	
21	114	24	117	
39	122	16	99	
20	109	16	105	
14	119	24	129	
31	123	20	113	
26	107	25	106	
26	125	30	129	
21	118	25	123	
16	123	7	113	
21	112	16	107	
36	118	31	114	
34	119	32	117	
26	123	13	110	
26	116	17	107	
28	124	18	114	
20	111	26	117	
40	125	32	118	
30	116	27	113	
29	110	34	115	
20	111	26	117	
30	125	30	124	
30	115	21	106	
33	126	25	117	
21	107	24	110	
22	112	27	117	
43	127	35	119	
18	106	32	120	
33	123	21	111	
30	106	34	110	
21	99	31	108	
36	119	17	100	
20	111	26	117	
39	128	38	127	
37	124	31	118	
20	111	26	117	
24	107	30	114	
30	116	37	123	
20	105	32	117	
21	127	15	121	
13	122	12	120	
20	111	26	117	
14	111	12	109	
39	121	31	114	
17	112	44	140	
15	103	29	117	
27	119	23	115	
21	127	9	115	
23	102	25	103	
12	96	28	111	
34	120	28	113	
31	122	23	114	
27	126	28	127	
16	121	12	116	
20	122	19	120	
29	132	15	118	
35	113	11	89	
26	127	17	118	
20	111	26	117	
29	134	21	127	
40	118	15	92	
30	112	29	111	
20	111	26	117	
37	121	19	103	
20	111	26	117	
20	120	16	115	
27	118	21	112	
29	106	23	100	
20	111	26	117	
22	136	17	131	
35	115	27	108	
18	101	37	120	
30	111	41	122	
33	112	41	121	
28	123	21	116	
24	111	26	114	
27	109	29	112	
41	125	26	109	
54	135	24	106	
29	108	23	102	
23	115	17	108	
20	111	26	117	
32	135	32	135	
10	113	22	125	
47	127	40	120	
20	111	26	117	
22	121	18	116	
24	121	24	120	
14	116	11	113	
41	133	21	113	
37	135	26	124	
21	123	15	116	
30	123	28	121	
15	125	11	121	
25	121	24	120	
9	101	9	101	
18	129	18	130	
29	108	29	108	
33	101	31	99	
37	123	33	119	
20	115	32	128	
31	116	38	124	
32	122	29	119	
34	127	16	110	
44	118	38	113	
20	108	28	116	
31	114	23	106	
29	125	26	122	
18	110	18	110	
28	128	31	131	
24	106	28	110	
20	111	26	117	
36	137	13	114	
40	109	24	93	
34	119	24	109	
34	119	23	107	
20	111	26	117	
23	121	18	116	
44	122	23	101	
20	111	26	117	
25	120	26	120	
20	111	26	117	
30	125	27	122	
36	124	31	119	
16	107	21	113	
21	104	33	117	
27	127	26	126	
21	116	15	111	
22	103	38	119	
34	130	17	113	
29	118	31	120	
27	119	20	111	
27	108	31	112	
54	146	27	119	
12	116	27	131	
21	118	16	113	
37	109	41	112	
36	126	23	113	
28	114	30	117	
17	112	20	114	
17	97	40	120	
30	115	29	114	
36	116	36	116	
28	117	30	119	
22	117	15	110	
39	122	34	117	
20	111	26	117	
15	108	33	125	
25	124	19	118	
30	118	20	108	
24	120	24	120	
20	111	26	117	
19	112	22	115	
28	127	16	115	
18	110	27	119	
20	111	26	117	
27	129	27	129	
23	106	23	106	
16	116	13	113	
11	110	28	128	
37	130	33	126	
28	125	24	121	
16	122	20	126	
29	111	37	120	
19	116	19	116	
25	114	30	119	
23	106	23	106	
15	111	19	115	
20	111	26	117	
20	111	26	117	
34	138	26	131	
25	117	31	123	
20	111	26	117	
20	111	26	117	
20	111	26	117	
21	111	16	107	
31	131	11	111	
33	133	31	131	
26	115	19	108	
31	121	21	112	
9	108	25	125	
45	116	10	82	
25	118	24	117	
16	113	18	115	
20	111	26	117	
11	112	11	112	
20	111	26	117	
23	121	15	113	
24	110	22	108	
25	127	12	114	
39	130	37	128	
26	112	20	106	
47	122	44	119	
20	111	26	117	
28	115	25	112	
20	111	26	117	
20	111	26	117	
21	108	21	108	
37	130	23	116	
18	110	32	125	
23	104	22	103	
20	111	26	117	
20	111	26	117	
15	106	26	117	
28	127	15	115	
39	131	33	125	
20	111	26	117	
9	108	16	115	
28	102	31	105	
20	111	26	117	
31	116	35	120	
17	100	35	118	
13	99	33	118	
24	128	25	130	
20	111	26	117	
16	98	34	116	
24	106	16	97	
12	117	24	129	
23	110	21	108	
34	135	32	133	
25	128	15	118	
23	118	26	121	
34	139	36	141	
34	124	21	111	
37	127	25	115	
20	111	26	117	
17	113	31	126	
47	129	20	103	
26	112	33	118	
33	118	22	107	
19	116	11	109	
20	111	26	117	
33	105	34	106	
31	124	26	120	
19	112	24	117	
29	107	44	122	
33	111	27	105	
39	131	24	116	
20	111	26	117	
38	121	20	102	
28	117	32	121	
25	110	23	109	
26	118	30	123	
22	95	30	103	
20	111	26	117	
24	127	19	122	
14	114	19	119	
38	117	38	117	
23	115	31	123	
38	116	35	113	
39	124	17	103	
30	125	19	113	
39	118	21	100	
31	114	34	118	
24	115	33	123	
20	102	19	101	
33	101	32	100	
20	111	26	117	
43	125	24	106	
24	103	26	105	
32	124	18	110	
20	111	26	117	
20	111	26	117	
35	117	28	110	
27	124	14	111	
20	111	26	117	
30	126	27	123	
33	115	26	108	
22	114	22	114	
15	113	27	125	
20	111	26	117	
19	116	30	128	
22	100	33	112	
23	115	31	123	
27	126	24	123	
35	121	30	115	
35	112	24	101	
17	107	25	115	
21	109	31	119	
25	120	34	129	
14	107	30	123	
33	123	7	97	
14	117	8	111	
24	109	30	115	
23	126	11	114	
33	123	24	114	
20	117	17	113	
26	122	26	122	
27	122	29	124	
31	121	21	111	
40	128	30	118	
24	114	19	108	
